Timestamp,Pupil_Size_Right,Pupil_Size_Left,UTC_Time
4115.02392578125,2.705077648162842,2.8802335262298584,2023-04-20T08:29:38.127665
4115.02587890625,2.705843687057495,2.8812644481658936,2023-04-20T08:29:38.130664
4115.0283203125,2.706427812576294,2.8820624351501465,2023-04-20T08:29:38.132665
4115.0302734375,2.7062947750091553,2.8826804161071777,2023-04-20T08:29:38.133713
4115.0322265625,2.7067291736602783,2.8827614784240723,2023-04-20T08:29:38.134719
4115.0341796875,2.706901788711548,2.8828649520874023,2023-04-20T08:29:38.138923
4115.0400390625,2.709294557571411,2.8843722343444824,2023-04-20T08:29:38.143020
4115.0419921875,2.7104601860046387,2.8850302696228027,2023-04-20T08:29:38.145063
4115.0439453125,2.711700201034546,2.8858625888824463,2023-04-20T08:29:38.148174
4115.0458984375,2.7129011154174805,2.8865907192230225,2023-04-20T08:29:38.149179
4115.04833984375,2.713897705078125,2.886568307876587,2023-04-20T08:29:38.152236
4115.05029296875,2.714653730392456,2.8868658542633057,2023-04-20T08:29:38.155438
4115.05224609375,2.7150075435638428,2.8867554664611816,2023-04-20T08:29:38.155438
4115.05419921875,2.7157585620880127,2.8862297534942627,2023-04-20T08:29:38.156595
4115.05615234375,2.7159059047698975,2.885741710662842,2023-04-20T08:29:38.163660
4115.05810546875,2.7163753509521484,2.884965181350708,2023-04-20T08:29:38.163660
4115.06005859375,2.716323137283325,2.884528636932373,2023-04-20T08:29:38.164776
4115.06201171875,2.715937852859497,2.883958339691162,2023-04-20T08:29:38.164776
4115.06396484375,2.7158102989196777,2.885098695755005,2023-04-20T08:29:38.166779
4115.06591796875,2.714548349380493,2.8859260082244873,2023-04-20T08:29:38.169900
4115.068359375,2.7135984897613525,2.8871841430664062,2023-04-20T08:29:38.170904
4115.0703125,2.712343454360962,2.888174057006836,2023-04-20T08:29:38.176093
4115.072265625,2.7145802974700928,2.888692617416382,2023-04-20T08:29:38.176093
4115.07421875,2.716038942337036,2.888899326324463,2023-04-20T08:29:38.179361
4115.076171875,2.7165303230285645,2.8892040252685547,2023-04-20T08:29:38.180361
4115.078125,2.717869520187378,2.889371395111084,2023-04-20T08:29:38.182387
4115.080078125,2.719040632247925,2.8902101516723633,2023-04-20T08:29:38.185400
4115.08203125,2.721270799636841,2.8908541202545166,2023-04-20T08:29:38.189718
4115.083984375,2.7230224609375,2.891777515411377,2023-04-20T08:29:38.190822
4115.0859375,2.7245523929595947,2.892618417739868,2023-04-20T08:29:38.190822
4115.087890625,2.726573944091797,2.8933396339416504,2023-04-20T08:29:38.192092
4115.08984375,2.727900505065918,2.893975257873535,2023-04-20T08:29:38.193168
4115.09228515625,2.7297511100769043,2.894029140472412,2023-04-20T08:29:38.201684
4115.09423828125,2.7309205532073975,2.8940141201019287,2023-04-20T08:29:38.202689
4115.09619140625,2.7319860458374023,2.8935587406158447,2023-04-20T08:29:38.202689
4115.09814453125,2.7327659130096436,2.8926525115966797,2023-04-20T08:29:38.202689
4115.10009765625,2.734194278717041,2.8921782970428467,2023-04-20T08:29:38.203689
4115.10205078125,2.73508882522583,2.8911783695220947,2023-04-20T08:29:38.205689
4115.10400390625,2.735881805419922,2.8902556896209717,2023-04-20T08:29:38.210776
4115.10595703125,2.7364046573638916,2.889265537261963,2023-04-20T08:29:38.210776
4115.10791015625,2.736891746520996,2.8879880905151367,2023-04-20T08:29:38.214993
4115.10986328125,2.7375447750091553,2.8874289989471436,2023-04-20T08:29:38.215994
4115.1123046875,2.737438917160034,2.886996269226074,2023-04-20T08:29:38.217994
4115.1142578125,2.7377097606658936,2.886155366897583,2023-04-20T08:29:38.218994
4115.1162109375,2.7383551597595215,2.8857030868530273,2023-04-20T08:29:38.219994
4115.1181640625,2.73918080329895,2.8848347663879395,2023-04-20T08:29:38.222993
4115.1201171875,2.740215301513672,2.883999824523926,2023-04-20T08:29:38.224993
4115.1220703125,2.740771770477295,2.883317708969116,2023-04-20T08:29:38.224993
4115.1240234375,2.7407405376434326,2.8817551136016846,2023-04-20T08:29:38.235249
4115.1259765625,2.7405290603637695,2.8815109729766846,2023-04-20T08:29:38.235249
4115.1279296875,2.7404775619506836,2.881509304046631,2023-04-20T08:29:38.235249
4115.1298828125,2.740102529525757,2.8821029663085938,2023-04-20T08:29:38.235249
4115.1318359375,2.7401130199432373,2.8825480937957764,2023-04-20T08:29:38.236473
4115.13427734375,2.7394919395446777,2.8827273845672607,2023-04-20T08:29:38.236473
4115.13623046875,2.738189220428467,2.882819414138794,2023-04-20T08:29:38.240473
4115.13818359375,2.7372612953186035,2.8828749656677246,2023-04-20T08:29:38.241474
4115.14013671875,2.7354624271392822,2.883023738861084,2023-04-20T08:29:38.243473
4115.14208984375,2.7338905334472656,2.8831231594085693,2023-04-20T08:29:38.246156
4115.14404296875,2.732591390609741,2.883220672607422,2023-04-20T08:29:38.250612
4115.14599609375,2.7326934337615967,2.883329391479492,2023-04-20T08:29:38.251761
4115.14794921875,2.7327353954315186,2.883413076400757,2023-04-20T08:29:38.251761
4115.14990234375,2.7321794033050537,2.883887767791748,2023-04-20T08:29:38.253794
4115.15185546875,2.733192205429077,2.8842649459838867,2023-04-20T08:29:38.255112
4115.154296875,2.734177827835083,2.886106014251709,2023-04-20T08:29:38.262320
4115.15625,2.736395835876465,2.8878469467163086,2023-04-20T08:29:38.263656
4115.158203125,2.7380290031433105,2.8889822959899902,2023-04-20T08:29:38.263656
4115.16015625,2.7380893230438232,2.890261650085449,2023-04-20T08:29:38.264661
